pasos,ep_rew_mean
216,220.0
3223,132.308
6484,136.538
9682,132.372
12211,123.65
15599,124.75
18482,123.75
21006,120.4
24389,125.95
27606,129.5
31266,149.0
34163,154.25
37224,154.75
40372,141.75
43537,131.25
47185,141.75
50324,147.65
53098,142.25
56056,136.1
59047,129.9
62106,124.4
65369,130.85
68449,141.2
71507,145.1
74728,150.65
77769,145.95
81010,141.95
84302,139.4
87596,135.15
90247,122.35
93720,132.65
97023,141.2
100005,138.0
103352,155.35
106277,146.1
109755,136.8
112723,140.8
115472,126.55
119291,139.6
122111,138.55
125208,144.4
128155,147.55
131276,143.0
134365,152.45
137049,135.7
140322,138.55
143807,147.15
147259,145.4
150630,171.05
153464,162.35
156483,143.05
159617,147.55
162885,134.3
166200,148.95
169487,156.5
173269,173.35
176294,165.95
179596,163.0
182644,155.55
185656,147.4
188441,145.4
191571,143.25
194524,136.8
197576,143.55
200514,151.4
203792,150.0
206592,158.35
209362,150.1
211967,140.15
214939,136.0
218270,137.7
221314,143.3
224499,159.85
227846,164.85
230849,156.0
233899,157.35
236832,153.9
240084,150.1
242701,148.6
245299,130.55
248315,130.15
250752,116.85
254060,124.05
257291,150.95
261004,169.9
264347,187.55
267020,184.45
269896,165.9
272795,156.7
275932,147.3
278931,146.8
282169,158.35
285351,158.1
288472,154.55
291861,170.0
294992,169.45
298006,162.6
301120,160.35
304724,170.8
308491,184.25
311308,188.85
314858,203.1
318513,195.95
322272,189.5
325883,196.45
328930,184.85
332128,170.95
335509,170.6
338700,156.5
342394,180.0
346193,192.6
350219,210.45
353955,215.9
357758,216.8
361538,217.0
365155,214.75
368793,225.0
372740,229.45
375971,220.25
379651,210.2
383522,211.5
387340,215.2
390943,224.2
394551,224.0
397935,207.05
401379,199.85
404952,204.15
408658,212.55
412117,223.95
416194,238.9
420052,242.7
423591,234.95
427244,230.95
431067,231.55
434646,222.35
438304,236.0
441564,233.7
445533,236.9
449297,253.15
453451,258.35
457339,267.85
461325,263.3
465190,257.75
468838,249.25
472723,247.6
475601,227.35
479509,237.25
483439,249.35
486703,239.6
490132,256.75
493611,250.85
497417,242.9
500848,253.2
504852,261.85
508227,246.05
511521,233.1
515422,246.45
519622,261.05
523525,279.3
527680,302.65
531520,305.85
535303,291.1
538822,275.5
542553,264.55
546508,266.6
550579,264.8
554776,290.4
558768,300.35
562479,295.85
566689,307.4
570202,288.85
573622,273.25
577295,268.9
580783,259.25
584100,252.8
587858,271.35
591816,279.4
596007,276.15
600125,304.6
603731,293.25
608259,304.0
612326,311.9
616480,315.2
620484,322.7
624995,323.5
629158,342.35
632909,340.75
636905,335.2
641020,327.95
644584,313.7
648921,328.85
652966,325.3
657466,345.5
661475,347.45
665853,353.6
669552,353.25
673162,320.95
676649,316.25
680235,299.9
684318,317.15
688518,328.95
693133,362.25
697616,385.55
701813,388.85
705654,384.75
709876,367.6
714845,388.05
719069,403.95
723432,416.2
727595,415.45
731565,382.9
735858,382.2
740530,386.55
745062,385.85
749041,397.5
753067,385.2
757293,388.25
761134,383.0
765520,391.1
769271,385.55
773641,403.1
778143,417.35
782406,417.1
787024,438.9
791395,417.3
795748,418.35
799777,414.65
804020,400.75
808938,412.95
813217,417.7
816788,413.75
821630,413.95
825946,407.8
830730,429.0
834689,430.35
839632,444.75
844189,445.25
848946,442.05
853335,450.15
858051,462.05
862942,470.55
867851,481.75
872344,489.2
876954,473.9
882068,479.85
886368,472.05
890951,479.25
894983,470.0
899338,455.15
903710,459.65
908310,467.1
912144,460.0
916847,483.65
921021,463.85
925597,472.5
930115,472.8
934314,457.2
938759,460.7
943656,475.8
948033,486.65
952367,497.5
956949,496.45
961304,473.0
965942,462.3
970341,464.45
975045,474.35
979628,479.4
984420,498.15
989158,491.0
993884,495.25
999039,500.75
1003438,490.35
1007561,487.15
1012325,487.95
1017096,478.05
1021666,477.55
1026292,494.35
1031164,505.95
1036159,515.3
