pasos,ep_rew_mean
137,20.0
3209,98.621
6772,125.517
10380,132.989
14537,153.35
18110,156.85
21484,149.5
25002,154.2
28417,145.45
31287,136.45
34736,136.6
38011,123.55
41338,126.35
44327,129.4
47629,127.5
50518,116.3
54424,134.05
57593,135.85
60671,127.9
64111,133.7
67202,124.2
70504,125.85
73773,125.0
77252,133.55
80683,133.7
83948,128.65
87092,133.25
90522,124.6
93899,125.3
97009,132.8
100391,131.4
103768,136.65
107246,139.65
110599,146.15
114054,146.15
117615,142.6
120623,137.7
123909,140.75
127647,147.7
130893,150.6
134526,171.05
137998,157.95
140990,147.95
144488,145.8
147283,130.95
150645,132.75
153616,135.75
157462,151.8
161016,157.65
164703,170.55
168522,182.65
171740,165.3
175428,176.9
178939,161.8
182642,172.9
186430,177.75
190391,182.15
193698,188.35
197017,178.75
200521,178.5
204110,183.2
208040,197.9
211816,193.65
215150,173.4
218977,175.55
222637,178.55
226019,178.1
229769,182.45
233225,189.95
236900,184.5
240431,180.1
244094,184.55
247717,191.95
251420,202.0
255333,206.85
258848,207.2
261971,186.85
265489,182.9
268658,167.3
272180,179.5
275848,182.7
279270,185.45
283036,199.2
287068,204.9
291182,209.35
295339,247.35
298942,234.75
302688,221.1
306006,199.55
310175,210.95
314074,224.5
317713,229.3
321534,237.25
325104,228.2
328920,224.75
332542,222.45
336030,217.15
339969,228.0
343860,237.3
348028,244.95
352040,253.2
356081,252.65
360232,257.0
364198,265.3
368287,265.4
372453,257.1
376356,263.3
380774,259.45
384512,256.15
388407,251.4
392357,257.25
395976,246.4
399816,246.7
403384,226.8
407332,229.1
411336,253.1
415061,253.1
419380,278.0
423852,290.85
428185,285.95
431914,284.65
436013,271.1
440045,259.55
444299,278.0
448571,287.15
452659,277.75
456846,280.1
461467,297.95
466047,322.85
470439,345.1
474659,340.9
478704,308.35
483119,303.85
487331,295.4
491666,293.1
495504,294.45
499399,299.3
503632,300.6
508302,315.25
512636,317.4
517024,327.3
520871,312.65
525036,314.0
529711,329.6
534262,334.65
538402,338.95
542780,324.45
547375,336.95
551498,333.6
556056,340.75
560208,340.3
564506,338.4
568230,332.65
572392,316.45
576645,331.25
581422,350.2
585993,355.1
590496,364.85
594911,360.95
599128,358.35
603465,364.3
607585,356.55
611701,356.05
616037,347.1
620514,355.65
625111,367.15
629863,391.3
634570,399.9
638993,405.0
643524,400.05
648080,391.4
652403,387.25
656759,387.95
661210,384.2
665783,380.3
670191,386.75
674948,403.1
678843,390.95
683086,392.3
688059,390.6
692770,402.95
697507,409.9
701831,412.55
706660,404.9
711462,404.1
715972,419.3
720947,429.2
725910,424.95
730456,416.15
735654,438.35
740313,427.4
745616,435.35
750709,446.95
754956,436.5
759517,420.2
764104,423.6
768694,416.5
774014,440.75
778701,446.85
783078,441.2
788173,458.75
792819,444.75
797171,444.9
802178,450.35
806799,443.2
811545,460.65
816545,464.1
821270,464.35
825922,459.6
830626,440.25
835454,446.15
840475,457.1
845277,464.9
850108,460.05
855331,473.85
860003,467.8
865034,454.65
869877,466.8
875230,484.85
880359,492.55
885248,505.25
889505,471.15
893782,450.15
898375,439.7
903409,468.1
908145,468.35
913415,485.15
918306,477.4
923002,476.85
927357,459.6
932688,463.0
937629,475.1
942854,501.15
947858,504.8
952982,515.45
957755,502.6
962316,504.35
966954,476.15
971835,481.55
976677,470.8
981293,473.1
986656,477.8
992084,500.25
997300,506.7
1002430,507.2
1007622,506.6
1012524,491.65
1017985,503.2
1023357,504.35
1028380,512.05
1033497,503.55
1038889,509.15
1044026,506.0
1048624,495.9
1053636,499.25
1058586,485.5
1063828,492.35
1068179,495.15
1073261,495.75
1078785,497.4
1083692,496.2
1088525,489.05
1093834,501.0
1098889,507.45
1104342,526.6
1109308,524.5
1114214,517.2
1118752,499.5
1123532,479.2
1128691,493.65
1133778,495.8
1138752,526.35
1143116,497.95
1148195,504.1
1152791,484.15
1157722,478.25
1163103,495.65
1168080,519.25
1173110,530.25
1178341,534.9
1183661,528.95
1188763,534.35
1194043,540.05
1199418,534.7
1204267,514.35
1210184,528.15
1215767,536.8
1220755,539.6
1225926,522.65
1230780,520.75
1235730,501.7
1240684,503.05
1245410,495.75
1250127,488.35
1254753,485.75
1260131,490.7
1265266,505.7
1270489,516.4
1275349,523.15
1280646,535.45
1285616,522.0
1290777,521.2
1296269,532.55
1301352,531.8
1306549,528.2
1311525,517.05
1316591,508.4
1321953,513.4
1326770,517.45
1331856,519.2
1337108,516.5
1342719,530.35
1347471,534.85
1352459,529.65
1357134,518.3
1361708,478.15
1366887,482.6
1371555,480.15
1376256,497.0
1381602,509.05
1386472,512.3
1391445,507.45
1396050,507.05
1401485,511.15
1406712,519.05
1411574,515.7
1416221,511.75
1421366,508.75
1426433,499.8
1431664,521.85
1436509,515.55
1441689,521.45
1446815,513.7
1451943,522.55
1457067,540.95
1462369,527.65
1467277,520.2
1472066,497.05
1477210,496.7
1482571,503.05
1488233,509.4
1493613,522.6
1499190,534.9
1504289,527.5
1508724,527.15
1513806,507.1
1519384,521.2
1524333,519.75
1529402,532.3
1534306,519.9
1539520,530.55
1544523,535.05
1549870,544.75
1554962,526.75
1560118,532.15
1565268,523.25
1569956,522.5
1574961,513.1
1579589,511.25
1584238,494.95
1588949,490.4
1593905,481.6
1599005,506.45
1603894,506.05
1609117,516.65
1614186,520.4
1618836,506.55
1623945,496.25
1629224,523.35
1633744,520.05
1638910,530.95
1644458,526.2
1649183,512.1
1654462,524.15
1659888,520.4
1665238,523.05
1670384,546.15
1675303,529.5
1679588,508.3
1684554,495.65
1689579,497.45
1694872,500.5
1700079,524.1
1705075,525.95
1710122,536.55
1715802,543.15
1721171,546.8
1725767,533.5
1730474,527.15
1735721,518.95
1740997,515.05
1746148,533.95
1751092,526.85
1755850,519.15
1760718,504.1
1766577,529.9
1771411,516.35
1776689,526.45
1781668,519.2
1787003,538.7
1792462,543.65
1797356,542.15
1802514,525.6
1807345,518.55
1812431,508.0
1817751,520.35
1822835,526.75
1827530,512.4
1832142,489.1
1837249,471.9
1842305,488.35
1847469,511.35
1852359,520.0
1857199,511.5
1862746,502.4
1868531,530.55
1873632,542.35
1878712,537.85
1883309,511.6
1888119,495.0
1893421,506.1
1898229,495.7
1903904,522.9
1908775,531.7
1914028,538.35
1918315,514.4
1923406,499.35
1928372,500.65
1933121,505.15
1937835,494.2
1943084,498.7
1948080,501.0
1953657,516.45
1959231,536.35
1964181,546.25
1969246,548.45
1974344,542.05
1979428,534.9
1985011,552.2
1990576,540.7
1995683,541.7
2000858,546.3
2006179,539.0
2011297,539.0
2016865,556.05
2022620,548.1
2027543,536.05
2032709,542.9
2038273,536.3
2043592,545.3
2048941,549.75
2053683,536.8
2058990,541.7
2064155,531.2
2069133,526.15
2074857,545.4
2080692,559.4
2085783,556.55
2091741,560.85
2096703,542.95
2101540,525.25
2105968,498.75
2111374,494.6
2116715,519.75
2122394,554.1
2127754,560.05
2133192,549.75
2137686,523.85
2142913,514.45
2148325,512.75
2153412,519.8
2159036,540.8
2163913,537.85
2169061,536.35
2174072,522.55
2179552,527.2
2184711,545.2
2189800,554.05
2195009,546.2
2200224,534.1
2205247,519.85
2210678,533.6
2216224,549.5
2222333,572.3
2227511,573.2
2233204,573.65
2237717,538.85
2242976,525.6
2248283,517.6
2253751,529.85
2259168,538.25
2264618,543.85
2269333,519.6
2274200,504.95
2280019,525.95
2285590,536.85
2290830,532.55
2295569,509.9
2300205,484.6
2304982,476.05
2310450,489.0
2316305,523.75
2321638,538.2
2326950,546.65
2332284,533.1
2337080,518.05
2342642,529.25
2347463,512.6
2352738,516.25
2357897,517.15
2363127,519.8
2367977,507.3
2373537,505.75
2378771,527.15
2383908,514.9
2388548,510.45
2393469,489.55
2399483,496.65
2405828,533.25
2411185,549.8
2415552,536.1
2420543,511.8
2425884,497.15
2431338,515.45
2436423,522.35
2442163,541.0
2447249,529.1
2452834,536.05
2458601,551.9
2463671,545.15
2468810,534.7
2473331,510.7
2478855,516.85
2484118,525.2
2489579,551.25
2494494,531.25
2499845,533.7
2505713,548.25
2510550,532.2
2516359,557.45
2521484,550.05
2526732,552.35
2532059,536.0
2537012,515.5
2542266,527.1
2547887,533.65
2552912,537.75
2557881,533.0
2562948,528.15
2567882,524.65
2572673,490.25
2577883,500.95
2583002,509.15
2588198,529.35
2593554,527.05
2598949,532.15
2604457,530.5
2609515,530.95
2615382,551.15
2620903,551.3
2626414,558.8
2632055,563.6
2637527,559.75
2643027,545.75
2648070,538.7
2653044,525.3
2658355,518.1
2663885,531.75
2669751,549.6
2675086,563.05
2680948,578.45
2686603,579.65
2692117,568.25
2697264,569.75
2702468,551.4
2707645,534.55
2713126,548.65
2718392,550.5
2723232,547.1
2728426,543.05
2733843,549.45
2739446,554.7
2745291,577.0
2750404,573.5
2755355,558.35
2760644,552.45
2766365,535.3
2771757,554.6
2776542,556.75
2781820,538.15
2787055,521.05
2792262,521.55
2796688,514.15
2802305,518.25
2807585,505.65
2812717,537.2
2818345,539.75
2823624,547.1
2828945,558.2
2834627,578.15
2840022,566.15
2845465,554.85
2850914,549.7
2856131,537.0
2861543,552.05
2866861,538.6
2872111,536.1
2877551,538.9
2883306,554.85
2888374,555.9
2893642,547.65
2898401,522.6
2903754,534.3
2908857,529.3
2913857,525.95
2918815,529.05
2924068,528.85
2929679,539.1
2935199,549.95
2940002,525.4
2945252,544.75
2950808,521.1
2956241,543.35
2961232,528.6
2966170,536.2
2971609,535.8
2977363,541.85
2983164,567.4
2989162,599.35
2994577,597.65
3000400,593.4
3005369,575.55
3010220,536.6
3015142,513.2
3020736,547.8
3026060,561.3
3031379,564.85
3036705,557.5
3041684,550.95
3046685,509.45
3051771,519.45
3057007,530.3
3062152,555.8
3067936,555.0
3073659,572.8
3078808,572.2
3084474,591.4
3089844,591.5
3094874,575.3
3099988,561.3
3105284,555.75
3110273,550.95
3115295,537.05
3120866,547.35
3126777,560.2
3131407,559.9
3137001,578.7
3142117,561.75
3147291,551.95
3153122,566.05
3158620,563.55
3164193,592.15
3169654,589.9
3174548,579.5
3179849,571.15
3185775,554.8
3191507,557.45
3196277,547.8
3201882,550.45
3207143,548.65
3212538,544.1
3217379,544.3
3223380,540.35
3228913,565.35
3234417,596.75
3239979,611.9
3245361,617.25
3250849,599.5
3256495,585.9
3262120,599.25
3267899,609.55
3273767,621.0
3279299,604.1
3283981,581.6
3289196,561.6
3294617,551.7
3300378,579.6
3305655,586.7
3310292,561.75
3316275,569.5
3322079,576.95
3327870,599.2
3333457,618.8
3339357,630.7
3344914,637.75
3350036,602.0
3355564,601.3
3361375,595.45
3366663,581.05
3372415,579.05
3378586,584.4
3384323,590.75
3389923,606.95
3395447,606.5
3401081,591.7
3407069,613.95
3413218,620.9
3418175,586.85
3423457,572.35
3428976,569.95
3435151,583.75
3441404,627.9
3447200,642.05
3452426,628.6
3457729,588.2
3463464,587.95
3468968,596.6
3475086,622.0
3481119,641.4
3486423,651.6
3492313,645.5
3497570,603.7
3502790,578.95
3507926,565.3
3513127,547.25
3518139,545.0
3524423,581.75
3530106,620.15
3535708,626.8
3541146,626.6
3546589,603.45
3552305,597.7
3557698,591.75
3562333,580.1
3567340,549.75
3572712,533.5
3578163,543.25
3583829,578.5
3590022,597.7
3595785,632.25
3601149,633.2
3606905,616.7
3612207,607.85
3617874,626.25
3622854,601.55
3628365,609.65
3633965,615.5
3639536,606.6
3645076,610.45
3650616,613.2
3655433,569.25
3660786,578.85
3665998,574.1
3671393,580.45
3676945,603.6
3682537,603.5
3688322,602.55
3693683,604.85
3698812,592.85
3704327,582.5
3710315,600.85
3716113,610.55
3721220,617.85
3727249,612.15
3733301,631.05
3739422,630.25
3745126,646.65
3750835,644.5
3756604,630.0
3762082,622.15
3767417,586.0
3772867,580.7
3778862,598.65
3783969,600.6
3789177,601.95
3794639,594.2
3800488,591.75
3805256,589.7
3810615,586.15
3816064,588.35
3821716,603.9
3827452,634.65
3832991,625.6
3838579,629.15
3844408,636.0
3850005,625.7
3855761,625.7
3861243,625.3
3866186,598.35
3872207,602.95
3878178,622.95
3883632,645.4
3888843,608.9
3894783,615.95
3899837,598.1
3906011,628.1
3912197,647.45
3918217,671.05
3923847,663.7
3929328,667.45
3935162,619.65
3940337,603.45
3946031,615.15
3951500,615.85
3957309,618.45
3963497,648.1
3969908,678.7
3975211,662.15
3980964,652.6
3986770,642.5
3992357,618.55
3997392,617.55
4003287,601.85
4009529,626.15
4015108,617.65
4020807,625.85
4025432,595.75
4030634,580.1
4035376,543.8
4041356,587.3
4046444,580.55
4051581,593.0
4057290,595.55
4062647,563.6
4067953,568.45
4073787,585.4
4080098,621.2
4085660,647.35
4091506,656.65
4097829,675.45
4103605,666.25
4109259,658.4
4114974,660.65
4120560,635.25
4126842,650.5
4132475,665.4
4137612,630.7
4143163,649.0
4148220,578.2
4153944,599.05
4159378,600.6
4165646,635.5
4171602,670.5
4176900,653.2
4182822,664.1
4188312,634.15
4193895,619.5
4199646,646.1
4204920,640.1
4211020,653.2
4216350,639.4
4221922,621.85
4227547,620.15
4233443,625.1
4239134,636.45
4244372,636.65
4250033,624.65
