pasos,score_mean,score_std,score_max
500000,390.0,121.72373091006808,515.0
1000000,301.6666666666667,127.95398478446157,475.0
1500000,435.0,91.19576013536302,525.0
2000000,643.3333333333334,61.28258770283412,730.0
2500000,481.6666666666667,73.06770072260991,580.0
3000000,866.6666666666666,248.67426261856872,1045.0
3500000,940.0,133.8531533684084,1115.0
4000000,1025.0,240.55491403558287,1205.0
4500000,675.0,124.29802894656054,810.0
5000000,710.0,422.37424163885754,1270.0
5500000,615.0,183.84776310850236,745.0
6000000,1046.6666666666667,270.68842277094564,1395.0
6500000,868.3333333333334,213.78857676582152,1060.0
7000000,773.3333333333334,365.42973180748294,1225.0
7500000,998.3333333333334,262.1810231288468,1260.0
8000000,1473.3333333333333,421.98604505625804,1935.0
