pasos,exploration_rate
216,0.9989
386,0.9981
545,0.9973
691,0.9966
990,0.9951
1122,0.9944
1251,0.9938
1438,0.9929
1582,0.9922
1756,0.9913
1889,0.9906
2012,0.99
2219,0.989
2370,0.9883
2513,0.9876
2627,0.987
2757,0.9864
2942,0.9854
3083,0.9847
3223,0.984
3386,0.9832
3638,0.982
3764,0.9814
3872,0.9808
4172,0.9793
4385,0.9783
4531,0.9776
4758,0.9764
4905,0.9757
5096,0.9748
5288,0.9738
5405,0.9732
5560,0.9725
5710,0.9717
5901,0.9708
6049,0.9701
6179,0.9694
6327,0.9687
6484,0.9679
6708,0.9668
6857,0.9661
7128,0.9647
7332,0.9637
7462,0.9631
7624,0.9623
7758,0.9616
7932,0.9607
8091,0.9599
8211,0.9594
8339,0.9587
8414,0.9584
8538,0.9577
8686,0.957
8880,0.956
9088,0.955
9209,0.9544
9399,0.9535
9489,0.953
9682,0.9521
9904,0.951
9995,0.9505
10127,0.9499
10260,0.9492
10446,0.9483
10585,0.9476
10701,0.947
10821,0.9464
10931,0.9459
11071,0.9452
11183,0.9446
11285,0.9441
11361,0.9438
11565,0.9428
11668,0.9422
11845,0.9414
11968,0.9408
12077,0.9402
12211,0.9396
12420,0.9385
12626,0.9375
12787,0.9367
12951,0.9359
13166,0.9348
13302,0.9342
13428,0.9335
13545,0.933
13726,0.9321
13920,0.9311
14041,0.9305
14160,0.9299
14337,0.929
14447,0.9285
14734,0.9271
14949,0.926
15126,0.9251
15277,0.9244
15431,0.9236
15599,0.9228
15809,0.9217
15997,0.9208
16136,0.9201
16329,0.9192
16453,0.9186
16573,0.918
16667,0.9175
16803,0.9168
16952,0.9161
17195,0.9149
17284,0.9144
17416,0.9138
17574,0.913
17738,0.9122
17980,0.911
18137,0.9102
18221,0.9098
18347,0.9092
18482,0.9085
18651,0.9077
18853,0.9067
18957,0.9062
19128,0.9053
19219,0.9049
19398,0.904
19551,0.9032
19716,0.9024
19869,0.9016
20000,0.901
20079,0.9006
20166,0.9002
20289,0.8996
20461,0.8987
20529,0.8984
20722,0.8974
20813,0.897
20925,0.8964
21006,0.896
21127,0.8954
21281,0.8947
21544,0.8934
21699,0.8926
21813,0.892
21946,0.8914
22070,0.8908
22387,0.8892
22554,0.8884
22677,0.8877
22811,0.8871
22989,0.8862
23148,0.8854
23317,0.8846
23496,0.8837
23698,0.8827
23809,0.8821
24056,0.8809
24200,0.8802
24389,0.8793
24610,0.8782
24790,0.8773
24880,0.8768
25037,0.8761
25206,0.8752
25382,0.8744
25594,0.8733
25703,0.8728
25930,0.8716
26061,0.871
26341,0.8696
26463,0.869
26585,0.8684
26783,0.8674
26927,0.8667
27046,0.8661
27218,0.8653
27415,0.8643
27606,0.8634
27815,0.8623
27927,0.8618
28088,0.861
28261,0.8601
28425,0.8593
28570,0.8586
28769,0.8576
28876,0.8571
29013,0.8564
29233,0.8553
29340,0.8548
29616,0.8534
29782,0.8526
29960,0.8517
30186,0.8506
30344,0.8498
30522,0.8489
30634,0.8484
30930,0.8469
31266,0.8452
31464,0.8443
31561,0.8438
31656,0.8433
31737,0.8429
31856,0.8423
31978,0.8417
32101,0.8411
32249,0.8404
32358,0.8398
32546,0.8389
32734,0.838
32852,0.8374
33126,0.836
33214,0.8356
33388,0.8347
33609,0.8336
33777,0.8328
34004,0.8317
34163,0.8309
34355,0.8299
34509,0.8292
34691,0.8283
34807,0.8277
34991,0.8268
35175,0.8259
35343,0.8251
35460,0.8245
35579,0.8239
35769,0.8229
35890,0.8223
36029,0.8217
36196,0.8208
36302,0.8203
36480,0.8194
36578,0.8189
36829,0.8177
36980,0.8169
37224,0.8157
37393,0.8149
37665,0.8136
37805,0.8129
37884,0.8125
38111,0.8114
38211,0.8109
38305,0.8104
38470,0.8096
38663,0.8086
38888,0.8075
39030,0.8068
39260,0.8057
39374,0.8051
39489,0.8045
39585,0.8041
39747,0.8033
39844,0.8028
39995,0.802
40172,0.8011
40372,0.8002
40617,0.7989
40873,0.7977
40955,0.7973
41108,0.7965
41305,0.7955
41438,0.7949
41671,0.7937
41753,0.7933
41930,0.7924
42108,0.7916
42281,0.7907
42485,0.7897
42663,0.7888
42836,0.788
42936,0.7875
43040,0.787
43216,0.7861
43401,0.7852
43537,0.7845
43828,0.7831
44041,0.782
44188,0.7813
44482,0.7798
44571,0.7794
44654,0.779
44785,0.7783
44968,0.7774
45172,0.7764
45312,0.7757
45412,0.7752
45707,0.7738
45892,0.7728
46139,0.7716
46261,0.771
46456,0.77
46672,0.769
46816,0.7683
46994,0.7674
47185,0.7664
47286,0.7659
47462,0.7651
47713,0.7638
47922,0.7628
48058,0.7621
48282,0.761
48412,0.7604
48561,0.7596
48661,0.7591
48884,0.758
49090,0.757
49258,0.7562
49339,0.7558
49587,0.7545
49808,0.7535
49926,0.7529
50000,0.7525
50073,0.7521
50193,0.7515
50324,0.7509
50457,0.7502
50631,0.7494
50758,0.7487
50896,0.7481
51033,0.7474
51136,0.7469
51282,0.7462
51391,0.7456
51476,0.7452
51594,0.7446
51810,0.7435
51910,0.743
52080,0.7422
52206,0.7416
52448,0.7404
52658,0.7393
52765,0.7388
52890,0.7382
53098,0.7372
53329,0.736
53460,0.7354
53631,0.7345
53782,0.7338
53982,0.7328
54125,0.7321
54251,0.7315
54360,0.7309
54473,0.7304
54599,0.7297
54703,0.7292
54943,0.728
55083,0.7273
55184,0.7268
55286,0.7263
55480,0.7254
55588,0.7248
55712,0.7242
55913,0.7232
56056,0.7225
56237,0.7216
56401,0.7208
56554,0.7201
56812,0.7188
56962,0.718
57081,0.7174
57257,0.7166
57393,0.7159
57619,0.7148
57812,0.7138
57922,0.7133
58028,0.7128
58157,0.7121
58289,0.7115
58406,0.7109
58555,0.7102
58746,0.7092
58875,0.7086
59047,0.7077
59211,0.7069
59352,0.7062
59533,0.7053
59686,0.7046
59823,0.7039
60025,0.7029
60200,0.702
60358,0.7012
60502,0.7005
60693,0.6996
60784,0.6991
60924,0.6984
61060,0.6978
61243,0.6968
61382,0.6962
61506,0.6955
61600,0.6951
61840,0.6939
61989,0.6932
62106,0.6926
62187,0.6922
62508,0.6906
62722,0.6895
62876,0.6888
63028,0.688
63093,0.6877
63245,0.6869
63345,0.6864
63495,0.6857
63686,0.6848
63789,0.6842
63936,0.6835
64103,0.6827
64303,0.6817
64423,0.6811
64671,0.6799
64827,0.6791
64988,0.6783
65369,0.6764
65461,0.676
65539,0.6756
65792,0.6743
65921,0.6737
66053,0.673
66258,0.672
66393,0.6714
66480,0.6709
66646,0.6701
66754,0.6696
67051,0.6681
67184,0.6674
67348,0.6666
67605,0.6654
67815,0.6643
67989,0.6635
68108,0.6629
68329,0.6618
68449,0.6612
68662,0.6601
68835,0.6593
68922,0.6588
69099,0.658
69175,0.6576
69327,0.6568
69542,0.6558
69661,0.6552
69798,0.6545
69893,0.654
70031,0.6533
70125,0.6529
70308,0.652
70558,0.6507
70660,0.6502
70783,0.6496
70925,0.6489
71083,0.6481
71339,0.6469
71507,0.646
71724,0.645
71947,0.6439
72084,0.6432
72297,0.6421
72385,0.6417
72510,0.6411
72647,0.6404
72772,0.6398
72940,0.6389
73218,0.6376
73342,0.637
73505,0.6362
73662,0.6354
73782,0.6348
73914,0.6341
74122,0.6331
74239,0.6325
74427,0.6316
74728,0.6301
74810,0.6297
74910,0.6292
75044,0.6285
75263,0.6274
75399,0.6268
75610,0.6257
75821,0.6247
76029,0.6237
76180,0.6229
76277,0.6224
76417,0.6217
76548,0.6211
76696,0.6204
76880,0.6194
77029,0.6187
77175,0.618
77265,0.6175
77515,0.6163
77633,0.6157
77769,0.615
78048,0.6137
78227,0.6128
78341,0.6122
78557,0.6111
78811,0.6099
78991,0.609
79135,0.6083
79224,0.6078
79457,0.6067
79611,0.6059
79766,0.6052
79902,0.6045
79997,0.604
80133,0.6033
80374,0.6021
80526,0.6014
80607,0.601
80818,0.6
81010,0.599
81176,0.5982
81309,0.5975
81524,0.5965
81756,0.5953
81893,0.5946
82176,0.5932
82396,0.5921
82543,0.5914
82710,0.5906
82821,0.59
83029,0.589
83196,0.5882
83346,0.5874
83499,0.5867
83695,0.5857
83768,0.5853
84051,0.5839
84217,0.5831
84302,0.5827
84388,0.5823
84573,0.5814
84696,0.5808
84924,0.5796
85096,0.5788
85243,0.578
85386,0.5773
85543,0.5766
85756,0.5755
85865,0.575
86082,0.5739
86359,0.5725
86549,0.5716
86632,0.5712
86824,0.5702
86922,0.5697
87035,0.5692
87142,0.5686
87388,0.5674
87596,0.5664
87810,0.5653
87973,0.5645
88187,0.5635
88314,0.5628
88426,0.5623
88536,0.5617
88761,0.5606
88863,0.5601
89049,0.5592
89189,0.5585
89351,0.5577
89500,0.557
89568,0.5566
89657,0.5562
89750,0.5557
89870,0.5551
90031,0.5543
90186,0.5536
90247,0.5533
90379,0.5526
90468,0.5522
90563,0.5517
90633,0.5514
90819,0.5504
90937,0.5499
91132,0.5489
91344,0.5478
91477,0.5472
91650,0.5463
91798,0.5456
92050,0.5444
92249,0.5434
92571,0.5418
92764,0.5408
93067,0.5393
93210,0.5386
93309,0.5381
93569,0.5368
93720,0.5361
93824,0.5356
93987,0.5348
94188,0.5338
94414,0.5327
94539,0.532
94622,0.5316
94914,0.5302
95167,0.5289
95301,0.5283
95444,0.5276
95654,0.5265
95904,0.5253
96084,0.5244
96308,0.5233
96506,0.5223
96588,0.5219
96683,0.5214
96885,0.5204
97023,0.5197
97141,0.5192
97251,0.5186
97444,0.5177
97572,0.517
97776,0.516
98005,0.5149
98166,0.5141
98460,0.5126
98638,0.5117
98740,0.5112
98903,0.5104
99033,0.5098
99182,0.509
99291,0.5085
99401,0.508
99587,0.507
99772,0.5061
99916,0.5054
100000,0.505
100005,0.505
100172,0.5041
100347,0.5033
100539,0.5023
100726,0.5014
100903,0.5005
101029,0.4999
101155,0.4993
101303,0.4986
101419,0.498
101662,0.4968
101818,0.496
101909,0.4956
102029,0.495
102269,0.4938
102385,0.4932
102581,0.4922
102729,0.4915
102856,0.4909
103070,0.4898
103183,0.4892
103376,0.4883
103648,0.4869
103973,0.4853
104211,0.4842
104432,0.4831
104596,0.4822
104824,0.4811
104916,0.4807
105138,0.4796
105276,0.4789
105429,0.4781
105550,0.4775
105716,0.4767
105808,0.4763
105951,0.4755
106104,0.4748
106322,0.4737
106427,0.4732
106634,0.4722
106754,0.4716
106838,0.4712
106967,0.4705
107073,0.47
107334,0.4687
107471,0.468
107621,0.4673
107789,0.4664
107940,0.4657
108083,0.465
108204,0.4644
108359,0.4636
108529,0.4628
108672,0.4621
108803,0.4614
109025,0.4603
109197,0.4595
109307,0.4589
109411,0.4584
109572,0.4576
109717,0.4569
109949,0.4558
110171,0.4547
110324,0.4539
110539,0.4528
110820,0.4514
110922,0.4509
111191,0.4496
111380,0.4487
111564,0.4478
111749,0.4468
112016,0.4455
112189,0.4447
112324,0.444
112629,0.4425
112772,0.4418
112891,0.4412
113254,0.4394
113318,0.4391
113498,0.4382
113759,0.4369
113836,0.4365
114072,0.4353
114240,0.4345
114465,0.4334
114623,0.4326
114736,0.4321
114938,0.4311
115237,0.4296
115483,0.4284
115675,0.4274
115916,0.4262
116188,0.4249
116306,0.4243
116514,0.4233
116692,0.4224
116855,0.4216
117032,0.4207
117116,0.4203
117287,0.4194
117410,0.4188
117598,0.4179
117723,0.4173
117878,0.4165
118126,0.4153
118288,0.4145
118438,0.4137
118674,0.4126
118818,0.4119
119100,0.4105
119317,0.4094
119434,0.4088
119537,0.4083
119676,0.4076
119837,0.4068
119969,0.4062
120176,0.4051
120420,0.4039
120688,0.4026
120806,0.402
120964,0.4012
121139,0.4004
121328,0.3994
121544,0.3984
121762,0.3973
121892,0.3966
122132,0.3954
122454,0.3939
122710,0.3926
122845,0.3919
122975,0.3913
123200,0.3902
123325,0.3895
123511,0.3886
123686,0.3878
123801,0.3872
123903,0.3867
124176,0.3853
124503,0.3837
124719,0.3826
125000,0.3812
125194,0.3803
125569,0.3784
125773,0.3774
125899,0.3768
126108,0.3758
126192,0.3753
126267,0.375
126384,0.3744
126583,0.3734
126789,0.3724
126958,0.3716
127204,0.3703
127434,0.3692
127625,0.3683
127842,0.3672
128052,0.3661
128234,0.3652
128499,0.3639
128678,0.363
128868,0.3621
129051,0.3612
129212,0.3604
129311,0.3599
129453,0.3592
129693,0.358
129993,0.3565
130192,0.3555
130294,0.355
130423,0.3544
130639,0.3533
130860,0.3522
131103,0.351
131239,0.3504
131397,0.3496
131612,0.3485
131745,0.3479
131839,0.3474
132181,0.3457
132414,0.3446
132583,0.3437
132821,0.3425
133002,0.3416
133080,0.3413
133251,0.3404
133378,0.3398
133565,0.3389
133693,0.3382
133910,0.3371
134094,0.3362
134195,0.3357
134368,0.3349
134560,0.3339
134775,0.3329
134927,0.3321
135157,0.331
135508,0.3292
135701,0.3283
135828,0.3277
136020,0.3267
136178,0.3259
136345,0.3251
136525,0.3242
136703,0.3233
136802,0.3228
137154,0.3211
137279,0.3205
137443,0.3197
137597,0.3189
137870,0.3175
138073,0.3165
138219,0.3158
138359,0.3151
138548,0.3142
138736,0.3133
138866,0.3126
139002,0.3119
139245,0.3107
139380,0.3101
139505,0.3095
139655,0.3087
139974,0.3071
140243,0.3058
140432,0.3049
140513,0.3045
140727,0.3034
140981,0.3021
141182,0.3011
141366,0.3002
141555,0.2993
141696,0.2986
141879,0.2977
142067,0.2968
142229,0.296
142385,0.2952
142782,0.2932
142865,0.2928
143088,0.2917
143520,0.2896
143694,0.2887
143919,0.2876
144040,0.287
144219,0.2861
144402,0.2852
144635,0.2841
144864,0.2829
145100,0.2818
145301,0.2808
145388,0.2803
145576,0.2794
145959,0.2775
146059,0.277
146273,0.2759
146410,0.2753
146650,0.2741
146750,0.2736
146883,0.2729
147158,0.2716
147333,0.2707
147497,0.2699
147721,0.2688
147977,0.2675
148184,0.2665
148294,0.2659
148495,0.2649
148697,0.2639
148970,0.2626
149073,0.2621
149274,0.2611
149609,0.2594
149698,0.259
149837,0.2583
150000,0.2575
150057,0.2572
150200,0.2565
150535,0.2549
150845,0.2533
151146,0.2518
151279,0.2512
151435,0.2504
151598,0.2496
151724,0.249
151971,0.2477
152198,0.2466
152428,0.2455
152728,0.244
152876,0.2433
153093,0.2422
153417,0.2406
153576,0.2398
153741,0.239
153919,0.2381
154284,0.2363
154508,0.2352
154627,0.2346
154735,0.2341
154839,0.2335
154961,0.2329
155212,0.2317
155461,0.2305
155578,0.2299
155728,0.2291
155876,0.2284
156055,0.2275
156314,0.2262
156464,0.2255
156686,0.2244
156829,0.2237
157007,0.2228
157248,0.2216
157370,0.221
157529,0.2202
157646,0.2197
157844,0.2187
158259,0.2166
158410,0.2159
158680,0.2145
158882,0.2135
159189,0.212
159544,0.2103
159774,0.2091
159898,0.2085
160137,0.2073
160366,0.2062
160444,0.2058
160682,0.2046
160883,0.2036
161065,0.2027
161307,0.2015
161423,0.201
161665,0.1998
161878,0.1987
162133,0.1974
162397,0.1961
162592,0.1952
162951,0.1934
163206,0.1921
163337,0.1915
163474,0.1908
163646,0.19
163762,0.1894
163899,0.1887
164039,0.188
164132,0.1875
164407,0.1862
164545,0.1855
164685,0.1848
164819,0.1841
164975,0.1834
165169,0.1824
165414,0.1812
165584,0.1804
165765,0.1795
165852,0.179
166038,0.1781
166138,0.1776
166257,0.177
166326,0.1767
166570,0.1755
166849,0.1741
167025,0.1732
167174,0.1725
167334,0.1717
167513,0.1708
167667,0.17
167791,0.1694
168006,0.1684
168216,0.1673
168410,0.1664
168652,0.1652
168878,0.1641
169074,0.1631
169196,0.1625
169337,0.1618
169544,0.1608
169773,0.1596
169952,0.1587
170191,0.1576
170378,0.1566
170622,0.1554
170802,0.1545
171047,0.1533
171231,0.1524
171502,0.1511
171838,0.1494
171969,0.1488
172144,0.1479
172298,0.1471
172473,0.1463
172694,0.1452
172965,0.1438
173322,0.1421
173522,0.1411
173649,0.1404
173736,0.14
173935,0.139
174169,0.1379
174352,0.137
174513,0.1362
174740,0.135
174975,0.1339
175158,0.133
175313,0.1322
175485,0.1313
175600,0.1308
175779,0.1299
175970,0.1289
176070,0.1285
176248,0.1276
176446,0.1266
176589,0.1259
176830,0.1247
177008,0.1238
177194,0.1229
177492,0.1214
177774,0.12
177936,0.1192
178258,0.1176
178514,0.1164
178789,0.115
178946,0.1142
179108,0.1134
179356,0.1122
179543,0.1113
179748,0.1102
180037,0.1088
180286,0.1076
180489,0.1066
180618,0.1059
180823,0.1049
181079,0.1037
181255,0.1028
181395,0.1021
181631,0.1009
181776,0.1002
181972,0.0992
182125,0.0985
182250,0.0979
182403,0.0971
182598,0.0961
182776,0.0953
182996,0.0942
183254,0.0929
183390,0.0922
183539,0.0915
183663,0.0909
183789,0.0902
183927,0.0896
184144,0.0885
184369,0.0874
184634,0.0861
184903,0.0847
185165,0.0834
185305,0.0827
185382,0.0824
185597,0.0813
185700,0.0808
185808,0.0803
185910,0.0797
186222,0.0782
186398,0.0773
186713,0.0758
186886,0.0749
187019,0.0743
187218,0.0733
187413,0.0723
187541,0.0717
187722,0.0708
187872,0.07
188208,0.0684
188342,0.0677
188578,0.0665
188705,0.0659
188916,0.0649
189033,0.0643
189431,0.0623
189508,0.0619
189744,0.0608
190023,0.0594
190217,0.0584
190306,0.058
190578,0.0566
190672,0.0562
190840,0.0553
190926,0.0549
191253,0.0533
191441,0.0524
191629,0.0514
191884,0.0502
192085,0.0492
192421,0.0475
192549,0.0469
192721,0.046
192955,0.0449
193119,0.0441
193266,0.0433
193407,0.0426
193623,0.0416
193793,0.0407
193924,0.0401
194167,0.0389
194350,0.038
194516,0.0371
194678,0.0363
194900,0.0352
195184,0.0338
195310,0.0332
195550,0.032
195855,0.0305
196116,0.0292
196194,0.0288
196394,0.0278
196536,0.0271
196719,0.0262
196895,0.0254
197000,0.0248
197120,0.0243
197333,0.0232
197541,0.0222
197677,0.0215
197845,0.0207
198045,0.0197
198180,0.019
198409,0.0179
198612,0.0169
198813,0.0159
199008,0.0149
199175,0.0141
199310,0.0134
199531,0.0123
199725,0.0114
199942,0.0103
200000,0.01
200097,0.01
200324,0.01
200467,0.01
200655,0.01
200828,0.01
201073,0.01
201272,0.01
201354,0.01
201545,0.01
201775,0.01
201940,0.01
202101,0.01
202319,0.01
202535,0.01
202749,0.01
202972,0.01
203095,0.01
203233,0.01
203389,0.01
203464,0.01
203674,0.01
203916,0.01
204063,0.01
204294,0.01
204432,0.01
204711,0.01
204941,0.01
205092,0.01
205291,0.01
205524,0.01
205690,0.01
205864,0.01
206024,0.01
206277,0.01
206407,0.01
206755,0.01
206957,0.01
207070,0.01
207285,0.01
207491,0.01
207650,0.01
207746,0.01
208051,0.01
208195,0.01
208330,0.01
208554,0.01
208721,0.01
208849,0.01
209080,0.01
209320,0.01
209675,0.01
209889,0.01
210074,0.01
210253,0.01
210493,0.01
210664,0.01
210789,0.01
210905,0.01
211059,0.01
211275,0.01
211590,0.01
211764,0.01
211916,0.01
212156,0.01
212341,0.01
212515,0.01
212774,0.01
212997,0.01
213191,0.01
213333,0.01
213527,0.01
213668,0.01
213839,0.01
213975,0.01
214169,0.01
214330,0.01
214558,0.01
214769,0.01
214923,0.01
215209,0.01
215356,0.01
215469,0.01
215736,0.01
216033,0.01
216269,0.01
216514,0.01
216744,0.01
216842,0.01
217021,0.01
217242,0.01
217356,0.01
217623,0.01
217856,0.01
217985,0.01
218154,0.01
218430,0.01
218565,0.01
218706,0.01
218935,0.01
219201,0.01
219367,0.01
219547,0.01
219713,0.01
219909,0.01
220203,0.01
220380,0.01
220575,0.01
220719,0.01
220847,0.01
221149,0.01
221333,0.01
221469,0.01
221595,0.01
221752,0.01
221914,0.01
222042,0.01
222218,0.01
222376,0.01
222730,0.01
222904,0.01
223133,0.01
223226,0.01
223409,0.01
223641,0.01
223742,0.01
224043,0.01
224263,0.01
224446,0.01
224679,0.01
224797,0.01
224948,0.01
225115,0.01
225210,0.01
225378,0.01
225623,0.01
225913,0.01
226063,0.01
226169,0.01
226400,0.01
226552,0.01
226724,0.01
226889,0.01
227051,0.01
227343,0.01
227452,0.01
227694,0.01
227833,0.01
228046,0.01
228161,0.01
228309,0.01
228428,0.01
228663,0.01
228887,0.01
229113,0.01
229318,0.01
229519,0.01
229717,0.01
229833,0.01
230053,0.01
230190,0.01
230460,0.01
230670,0.01
230867,0.01
230976,0.01
231156,0.01
231498,0.01
231665,0.01
231789,0.01
231965,0.01
232251,0.01
232439,0.01
232621,0.01
232836,0.01
233047,0.01
233236,0.01
233458,0.01
233700,0.01
233913,0.01
234035,0.01
234226,0.01
234352,0.01
234504,0.01
234647,0.01
234730,0.01
234867,0.01
235014,0.01
235117,0.01
235345,0.01
235522,0.01
235639,0.01
235736,0.01
235885,0.01
236063,0.01
236197,0.01
236317,0.01
236473,0.01
236606,0.01
236750,0.01
237008,0.01
237183,0.01
237392,0.01
237589,0.01
237729,0.01
237904,0.01
238122,0.01
238386,0.01
238512,0.01
238679,0.01
238889,0.01
239050,0.01
239368,0.01
239544,0.01
239701,0.01
240012,0.01
240229,0.01
240586,0.01
240842,0.01
240935,0.01
241144,0.01
241264,0.01
241412,0.01
241597,0.01
241862,0.01
242129,0.01
242224,0.01
242305,0.01
242497,0.01
242664,0.01
242888,0.01
243145,0.01
243424,0.01
243658,0.01
243875,0.01
244028,0.01
244220,0.01
244404,0.01
244607,0.01
244819,0.01
244954,0.01
245217,0.01
245408,0.01
245606,0.01
245814,0.01
246064,0.01
246155,0.01
246445,0.01
247048,0.01
247199,0.01
247342,0.01
247550,0.01
247740,0.01
248005,0.01
248214,0.01
248367,0.01
248481,0.01
248726,0.01
248901,0.01
249119,0.01
249356,0.01
249687,0.01
249772,0.01
250000,0.01
250112,0.01
250274,0.01
250420,0.01
250530,0.01
250744,0.01
250867,0.01
251102,0.01
251403,0.01
251531,0.01
251752,0.01
252020,0.01
252230,0.01
252457,0.01
252590,0.01
252796,0.01
252927,0.01
253109,0.01
253234,0.01
253459,0.01
253619,0.01
253842,0.01
253996,0.01
254207,0.01
254405,0.01
254573,0.01
254761,0.01
254917,0.01
255094,0.01
255284,0.01
255389,0.01
255587,0.01
255764,0.01
255915,0.01
256059,0.01
256257,0.01
256376,0.01
256580,0.01
256715,0.01
256918,0.01
257107,0.01
257214,0.01
257474,0.01
257599,0.01
257839,0.01
257993,0.01
258309,0.01
258476,0.01
258724,0.01
258843,0.01
259043,0.01
259118,0.01
259365,0.01
259534,0.01
259713,0.01
259920,0.01
260104,0.01
260309,0.01
260572,0.01
260774,0.01
260919,0.01
260998,0.01
261462,0.01
261569,0.01
261735,0.01
261924,0.01
262183,0.01
262428,0.01
262652,0.01
262769,0.01
262899,0.01
263033,0.01
263235,0.01
263440,0.01
263675,0.01
263929,0.01
264067,0.01
264250,0.01
264600,0.01
264867,0.01
265078,0.01
265312,0.01
265468,0.01
265603,0.01
265724,0.01
265966,0.01
266111,0.01
266310,0.01
266466,0.01
266596,0.01
266835,0.01
267148,0.01
267314,0.01
267560,0.01
267688,0.01
267935,0.01
268127,0.01
268392,0.01
268462,0.01
268662,0.01
268971,0.01
269238,0.01
269370,0.01
269550,0.01
269725,0.01
269850,0.01
270088,0.01
270280,0.01
270442,0.01
270656,0.01
270956,0.01
271224,0.01
271449,0.01
271583,0.01
271778,0.01
271968,0.01
272113,0.01
272295,0.01
272446,0.01
272582,0.01
272763,0.01
272923,0.01
273132,0.01
273257,0.01
273444,0.01
273668,0.01
273948,0.01
274131,0.01
274377,0.01
274566,0.01
274815,0.01
274946,0.01
275060,0.01
275215,0.01
275395,0.01
275623,0.01
275818,0.01
276156,0.01
276282,0.01
276438,0.01
276613,0.01
276877,0.01
276995,0.01
277239,0.01
277518,0.01
277679,0.01
277767,0.01
277862,0.01
278125,0.01
278307,0.01
278619,0.01
278810,0.01
278932,0.01
279102,0.01
279279,0.01
279488,0.01
279646,0.01
279896,0.01
280069,0.01
280163,0.01
280305,0.01
280563,0.01
280829,0.01
280997,0.01
281126,0.01
281231,0.01
281407,0.01
281589,0.01
281864,0.01
282104,0.01
282342,0.01
282542,0.01
282669,0.01
282939,0.01
283151,0.01
283515,0.01
283734,0.01
283836,0.01
284071,0.01
284257,0.01
284475,0.01
284714,0.01
284886,0.01
285150,0.01
285372,0.01
285484,0.01
285732,0.01
286014,0.01
286215,0.01
286456,0.01
286585,0.01
286843,0.01
287149,0.01
287362,0.01
287548,0.01
287875,0.01
288058,0.01
288314,0.01
288604,0.01
288834,0.01
289062,0.01
289200,0.01
289390,0.01
289570,0.01
289712,0.01
289892,0.01
290147,0.01
290458,0.01
290653,0.01
290867,0.01
291041,0.01
291301,0.01
291411,0.01
291565,0.01
291743,0.01
292052,0.01
292357,0.01
292650,0.01
292971,0.01
293246,0.01
293355,0.01
293504,0.01
293809,0.01
294057,0.01
294172,0.01
294460,0.01
294686,0.01
294880,0.01
295104,0.01
295311,0.01
295505,0.01
295639,0.01
295833,0.01
295976,0.01
296165,0.01
296416,0.01
296635,0.01
296920,0.01
297109,0.01
297288,0.01
297538,0.01
297704,0.01
298167,0.01
298322,0.01
298543,0.01
298653,0.01
298822,0.01
299106,0.01
299327,0.01
299556,0.01
299755,0.01
299922,0.01
300000,0.01
300206,0.01
300479,0.01
300665,0.01
300815,0.01
300896,0.01
301078,0.01
301283,0.01
301490,0.01
301606,0.01
301922,0.01
301999,0.01
302315,0.01
302459,0.01
302636,0.01
302902,0.01
303079,0.01
303273,0.01
303414,0.01
303752,0.01
303914,0.01
304209,0.01
304375,0.01
304556,0.01
304824,0.01
305039,0.01
305160,0.01
305405,0.01
305768,0.01
305969,0.01
306144,0.01
306264,0.01
306406,0.01
306629,0.01
306819,0.01
307008,0.01
307203,0.01
307457,0.01
307702,0.01
307915,0.01
308138,0.01
308433,0.01
308666,0.01
308939,0.01
309240,0.01
309513,0.01
309775,0.01
309996,0.01
310161,0.01
310365,0.01
310512,0.01
310740,0.01
310883,0.01
311069,0.01
311250,0.01
311506,0.01
311773,0.01
311956,0.01
312162,0.01
312349,0.01
312608,0.01
312766,0.01
313034,0.01
313367,0.01
313661,0.01
313830,0.01
314170,0.01
314304,0.01
314699,0.01
314809,0.01
315098,0.01
315389,0.01
315593,0.01
315834,0.01
316123,0.01
316271,0.01
316453,0.01
316559,0.01
316890,0.01
317074,0.01
317295,0.01
317597,0.01
317863,0.01
318028,0.01
318219,0.01
318431,0.01
318672,0.01
318917,0.01
319271,0.01
319431,0.01
319593,0.01
319897,0.01
320246,0.01
320451,0.01
320583,0.01
320875,0.01
321141,0.01
321392,0.01
321569,0.01
321740,0.01
321909,0.01
322066,0.01
322186,0.01
322483,0.01
322836,0.01
323087,0.01
323199,0.01
323352,0.01
323609,0.01
323772,0.01
323939,0.01
324118,0.01
324318,0.01
324434,0.01
324724,0.01
325013,0.01
325328,0.01
325566,0.01
325758,0.01
325943,0.01
326110,0.01
326293,0.01
326537,0.01
326729,0.01
326935,0.01
327164,0.01
327304,0.01
327547,0.01
327757,0.01
327852,0.01
327982,0.01
328191,0.01
328301,0.01
328488,0.01
328706,0.01
328908,0.01
329016,0.01
329225,0.01
329488,0.01
329673,0.01
329945,0.01
330145,0.01
