pasos,loss
100005,0.03542
100172,0.04248
100347,0.00203
100539,0.03056
100726,0.027
100903,0.01458
101029,0.0013
101155,0.06688
101303,0.03232
101419,0.02711
101662,0.03155
101818,0.0606
101909,0.03102
102029,0.03443
102269,0.01874
102385,0.07912
102581,0.03048
102729,0.04266
102856,0.01695
103070,0.01414
103183,0.05864
103376,0.03688
103648,0.05693
103973,0.03664
104211,0.02824
104432,0.04848
104596,0.03053
104824,0.0451
104916,0.02687
105138,0.02039
105276,0.08176
105429,0.05041
105550,0.04937
105716,0.0432
105808,0.09944
105951,0.05855
106104,0.04976
106322,0.02256
106427,0.01002
106634,0.02453
106754,0.03466
106838,0.02418
106967,0.01848
107073,0.07465
107334,0.09616
107471,0.03184
107621,0.02709
107789,0.05424
107940,0.0396
108083,0.026
108204,0.04234
108359,0.03272
108529,0.05558
108672,0.05345
108803,0.04645
109025,0.07056
109197,0.07026
109307,0.05808
109411,0.0495
109572,0.03395
109717,0.02768
109949,0.04908
110171,0.03554
110324,0.03779
110539,0.06586
110820,0.02
110922,0.05492
111191,0.05629
111380,0.04311
111564,0.05807
111749,0.07329
112016,0.0801
112189,0.02097
112324,0.07784
112629,0.12998
112772,0.10189
112891,0.03063
113254,0.04056
113318,0.07298
113498,0.04688
113759,0.05948
113836,0.04938
114072,0.07135
114240,0.04815
114465,0.02413
114623,0.06251
114736,0.0565
114938,0.03012
115237,0.09861
115483,0.0365
115675,0.04758
115916,0.03219
116188,0.03424
116306,0.05494
116514,0.04136
116692,0.04228
116855,0.04488
117032,0.01875
117116,0.07464
117287,0.06218
117410,0.05659
117598,0.02574
117723,0.0228
117878,0.04949
118126,0.07883
118288,0.05524
118438,0.03854
118674,0.10719
118818,0.05753
119100,0.04332
119317,0.03829
119434,0.03518
119537,0.03458
119676,0.05404
119837,0.03937
119969,0.03286
120176,0.10679
120420,0.0297
120688,0.0682
120806,0.05402
120964,0.0591
121139,0.05149
121328,0.04246
121544,0.09289
121762,0.07041
121892,0.03145
122132,0.08352
122454,0.02884
122710,0.03488
122845,0.10419
122975,0.01586
123200,0.08501
123325,0.11916
123511,0.04498
123686,0.04323
123801,0.04955
123903,0.06497
124176,0.0707
124503,0.03787
124719,0.11543
125000,0.04845
125194,0.08322
125569,0.16019
125773,0.04349
125899,0.12306
126108,0.11794
126192,0.04182
126267,0.10881
126384,0.08775
126583,0.03729
126789,0.07917
126958,0.09576
127204,0.07087
127434,0.10677
127625,0.10496
127842,0.04891
128052,0.09532
128234,0.05677
128499,0.02514
128678,0.05548
128868,0.03132
129051,0.0785
129212,0.03753
129311,0.05066
129453,0.03477
129693,0.06069
129993,0.03126
130192,0.04984
130294,0.07399
130423,0.07094
130639,0.11611
130860,0.112
131103,0.05498
131239,0.03247
131397,0.0275
131612,0.06987
131745,0.10254
131839,0.04806
132181,0.08241
132414,0.04376
132583,0.0647
132821,0.09446
133002,0.0186
133080,0.09855
133251,0.04409
133378,0.09731
133565,0.03181
133693,0.06378
133910,0.08427
134094,0.07193
134195,0.13601
134368,0.12929
134560,0.10143
134775,0.11898
134927,0.19374
135157,0.20013
135508,0.1657
135701,0.03224
135828,0.01744
136020,0.06123
136178,0.19705
136345,0.14259
136525,0.04396
136703,0.09976
136802,0.1406
137154,0.09833
137279,0.05804
137443,0.10302
137597,0.10439
137870,0.02396
138073,0.05612
138219,0.06444
138359,0.26093
138548,0.08401
138736,0.20268
138866,0.15761
139002,0.16865
139245,0.18595
139380,0.10132
139505,0.0515
139655,0.02198
139974,0.15133
140243,0.08067
140432,0.10386
140513,0.12849
140727,0.08779
140981,0.13779
141182,0.0379
141366,0.05238
141555,0.12471
141696,0.10458
141879,0.30138
142067,0.10621
142229,0.18157
142385,0.2384
142782,0.07688
142865,0.00983
143088,0.05798
143520,0.04985
143694,0.03175
143919,0.06915
144040,0.06227
144219,0.10073
144402,0.07633
144635,0.01782
144864,0.19511
145100,0.10322
145301,0.02508
145388,0.03209
145576,0.29359
145959,0.20942
146059,0.03725
146273,0.15814
146410,0.05064
146650,0.18186
146750,0.14854
146883,0.19232
147158,0.06552
147333,0.04119
147497,0.02266
147721,0.0662
147977,0.03182
148184,0.10948
148294,0.03249
148495,0.12792
148697,0.07402
148970,0.07292
149073,0.25806
149274,0.23007
149609,0.03128
149698,0.15618
149837,0.36355
150000,0.15738
150057,0.15167
150200,0.06465
150535,0.10551
150845,0.16114
151146,0.23287
151279,0.0254
151435,0.09776
151598,0.08569
151724,0.024
151971,0.02147
152198,0.05081
152428,0.25635
152728,0.033
152876,0.09692
153093,0.03509
153417,0.14105
153576,0.16136
153741,0.13502
153919,0.03595
154284,0.03576
154508,0.14221
154627,0.17483
154735,0.05144
154839,0.02797
154961,0.21536
155212,0.25024
155461,0.02466
155578,0.05034
155728,0.07983
155876,0.01686
156055,0.0421
156314,0.04101
156464,0.11257
156686,0.21464
156829,0.05714
157007,0.30468
157248,0.16189
157370,0.03986
157529,0.10739
157646,0.1942
157844,0.01206
158259,0.05509
158410,0.30343
158680,0.03407
158882,0.04045
159189,0.32361
159544,0.16869
159774,0.08259
159898,0.19863
160137,0.22376
160366,0.27889
160444,0.08524
160682,0.03114
160883,0.22543
161065,0.05615
161307,0.15797
161423,0.13381
161665,0.12703
161878,0.06786
162133,0.13483
162397,0.04804
162592,0.33782
162951,0.15796
163206,0.01465
163337,0.21208
163474,0.21897
163646,0.18914
163762,0.13343
163899,0.1931
164039,0.04095
164132,0.08621
164407,0.16302
164545,0.25106
164685,0.06676
164819,0.44029
164975,0.15954
165169,0.02233
165414,0.04875
165584,0.04723
165765,0.0469
165852,0.11523
166038,0.20839
166138,0.21747
166257,0.04264
166326,0.18742
166570,0.06779
166849,0.07418
167025,0.21246
167174,0.27386
167334,0.02436
167513,0.14416
167667,0.15224
167791,0.14588
168006,0.08165
168216,0.20831
168410,0.04296
168652,0.0695
168878,0.05052
169074,0.25033
169196,0.05715
169337,0.18594
169544,0.15426
169773,0.0643
169952,0.0698
170191,0.02183
170378,0.14399
170622,0.02908
170802,0.18908
171047,0.28774
171231,0.168
171502,0.22143
171838,0.16456
171969,0.19118
172144,0.03439
172298,0.13762
172473,0.18049
172694,0.34845
