pasos,ep_rew_mean
216,220.0
386,187.5
545,137.5
691,124.0
990,135.833
1122,146.875
1251,136.667
1438,138.5
1582,136.25
1756,129.231
1889,137.143
2012,127.5
2219,135.588
2370,132.222
2513,124.0
2627,121.667
2757,117.727
2942,132.917
3083,134.0
3223,132.308
3386,132.679
3638,137.414
3764,137.5
3872,131.094
4172,133.636
4385,139.412
4531,136.389
4758,139.189
4905,137.763
5096,139.625
5288,140.122
5405,142.262
5560,139.545
5710,140.667
5901,138.37
6049,138.438
6179,136.429
6327,135.3
6484,136.538
6708,138.019
6857,137.13
7128,138.304
7332,136.579
7462,139.052
7624,139.25
7758,137.869
7932,140.645
8091,139.531
8211,138.154
8339,137.348
8414,134.485
8538,134.348
8686,134.071
8880,134.097
9088,134.795
9209,133.851
9399,134.013
9489,132.662
9682,132.372
9904,132.625
9995,131.728
10127,131.585
10260,130.298
10446,130.0
10585,130.058
10701,129.375
10821,129.326
10931,128.611
11071,127.174
11183,126.452
11285,125.532
11361,125.104
11565,126.031
11668,125.561
11845,125.1
11968,124.45
12077,123.25
12211,123.65
12420,123.65
12626,125.35
12787,125.85
12951,125.4
13166,126.6
13302,126.5
13428,126.25
13545,124.5
13726,125.95
13920,125.15
14041,125.95
14160,126.15
14337,127.0
14447,127.3
14734,124.3
14949,124.2
15126,124.65
15277,127.2
15431,125.6
15599,124.75
15809,129.7
15997,129.5
16136,127.3
16329,128.9
16453,127.75
16573,128.05
16667,125.4
16803,124.7
16952,123.55
17195,125.0
17284,124.15
17416,124.9
17574,124.45
17738,125.25
17980,129.05
18137,128.05
18221,126.4
18347,126.3
18482,123.75
18651,123.7
18853,125.6
18957,124.4
19128,125.55
19219,122.85
19398,123.15
19551,124.15
19716,124.3
19869,127.15
20000,126.4
20079,125.45
20166,124.45
20289,123.45
20461,123.85
20529,122.35
20722,122.4
20813,121.8
20925,120.4
21006,120.4
21127,120.0
21281,121.2
21544,122.8
21699,124.0
21813,123.25
21946,123.05
22070,123.95
22387,127.55
22554,127.95
22677,128.05
22811,127.25
22989,126.45
23148,128.2
23317,128.15
23496,127.15
23698,129.15
23809,128.05
24056,130.5
24200,128.0
24389,125.95
24610,127.55
24790,126.55
24880,125.85
25037,126.6
25206,129.8
25382,132.3
25594,133.35
25703,131.95
25930,134.2
26061,134.5
26341,135.6
26463,134.45
26585,134.0
26783,131.3
26927,130.65
27046,129.9
27218,132.6
27415,130.05
27606,129.5
27815,130.1
27927,129.2
28088,128.9
28261,131.85
28425,132.5
28570,132.95
28769,136.3
28876,135.25
29013,135.4
29233,135.55
29340,134.85
29616,140.55
29782,137.2
29960,140.3
30186,139.85
30344,144.6
30522,145.55
30634,145.55
30930,144.2
31266,149.0
31464,150.75
31561,150.5
31656,149.05
31737,147.75
31856,146.55
31978,145.5
32101,146.3
32249,146.15
32358,146.15
32546,146.35
32734,146.45
32852,146.95
33126,152.55
33214,152.35
33388,152.1
33609,153.7
33777,154.65
34004,156.35
34163,154.25
34355,157.7
34509,157.55
34691,157.7
34807,155.75
34991,155.75
35175,155.85
35343,156.65
35460,157.3
35579,154.9
35769,155.35
35890,156.3
36029,154.9
36196,155.9
36302,155.4
36480,152.85
36578,153.1
36829,154.5
36980,153.15
37224,154.75
37393,153.95
37665,153.6
37805,151.5
37884,150.05
38111,149.65
38211,147.45
38305,147.35
38470,145.55
38663,146.25
38888,146.1
39030,147.0
39260,147.7
39374,148.9
39489,146.6
39585,145.85
39747,144.4
39844,144.35
39995,143.75
40172,144.35
40372,141.75
40617,142.5
40873,146.85
40955,147.5
41108,143.0
41305,144.4
41438,143.95
41671,146.35
41753,147.05
41930,142.25
42108,143.25
42281,140.3
42485,138.65
42663,138.25
42836,137.85
42936,138.25
43040,135.35
43216,131.2
43401,130.85
43537,131.25
43828,133.4
44041,137.75
44188,137.15
44482,138.35
44571,139.95
44654,139.55
44785,140.4
44968,141.1
45172,142.45
45312,142.6
45412,137.35
45707,139.4
45892,142.2
46139,146.65
46261,146.35
46456,143.4
46672,143.9
46816,140.85
46994,141.15
47185,141.75
47286,141.8
47462,139.7
47713,142.05
47922,143.85
48058,142.85
48282,144.35
48412,144.1
48561,142.7
48661,142.15
48884,145.65
49090,147.05
49258,148.6
49339,148.05
49587,148.5
49808,151.2
49926,149.6
50073,149.9
50193,147.65
50324,147.65
50457,146.6
50631,147.7
50758,148.25
50896,149.0
51033,148.0
51136,147.3
51282,146.45
51391,145.8
51476,144.0
51594,142.65
51810,145.25
51910,145.5
52080,145.3
52206,145.05
52448,147.6
52658,147.5
52765,147.55
52890,146.75
53098,142.25
53329,146.05
53460,146.2
53631,145.15
53782,146.5
53982,142.7
54125,144.7
54251,142.85
54360,141.1
54473,139.25
54599,138.8
54703,138.3
54943,138.8
55083,140.3
55184,141.1
55286,138.8
55480,139.4
55588,139.05
55712,135.75
55913,134.45
56056,136.1
56237,134.15
56401,137.65
56554,137.7
56812,139.35
56962,138.1
57081,136.9
57257,136.0
57393,136.9
57619,134.3
57812,135.35
57922,131.15
58028,130.05
58157,129.95
58289,128.6
58406,128.35
58555,126.65
58746,128.15
58875,128.7
59047,129.9
59211,129.35
59352,127.3
59533,128.7
59686,127.75
59823,128.55
60025,130.4
60200,133.25
60358,129.85
60502,129.2
60693,128.6
60784,128.15
60924,125.75
61060,122.75
61243,122.9
61382,122.9
61506,124.0
61600,123.85
61840,125.7
61989,124.3
62106,124.4
62187,123.45
62508,127.6
62722,131.95
62876,133.25
63028,133.2
63093,133.05
63245,133.75
63345,131.6
63495,131.75
63686,132.55
63789,132.5
63936,129.65
64103,129.05
64303,130.3
64423,129.8
64671,130.45
64827,127.35
64988,127.6
65369,130.85
65461,130.05
65539,130.25
65792,133.35
65921,134.3
66053,134.1
66258,137.15
66393,136.65
66480,136.7
66646,136.4
66754,135.2
67051,135.35
67184,140.65
67348,141.05
67605,142.2
67815,145.8
67989,144.7
68108,144.25
68329,145.0
68449,141.2
68662,144.3
68835,143.15
68922,142.65
69099,142.75
69175,142.7
69327,142.55
69542,144.1
69661,141.7
69798,141.15
69893,141.55
70031,140.9
70125,140.3
70308,140.55
70558,145.65
70660,144.7
70783,143.85
70925,141.95
71083,141.25
71339,145.0
71507,145.1
71724,148.25
71947,147.85
72084,149.05
72297,146.1
72385,148.15
72510,148.15
72647,147.45
72772,148.05
72940,147.6
73218,149.4
73342,153.3
73505,152.65
73662,152.35
73782,151.95
73914,151.65
74122,152.15
74239,152.0
74427,153.5
74728,150.65
74810,147.55
74910,145.7
75044,146.25
75263,146.5
75399,148.1
75610,149.2
75821,151.6
76029,152.0
76180,155.25
76277,155.25
76417,154.55
76548,153.35
76696,154.45
76880,151.5
77029,151.45
77175,150.85
77265,146.1
77515,147.75
77633,149.7
77769,145.95
78048,149.95
78227,149.5
78341,148.65
78557,149.8
78811,151.5
78991,150.55
79135,151.0
79224,150.25
79457,145.95
79611,145.1
79766,144.8
79902,141.3
79997,141.15
80133,140.1
80374,140.35
80526,141.4
80607,138.45
80818,140.95
81010,141.95
81176,141.9
81309,142.25
81524,142.45
81756,143.4
81893,142.15
82176,143.15
82396,147.1
82543,147.6
82710,148.75
82821,148.15
83029,142.85
83196,142.25
83346,142.7
83499,144.4
83695,146.75
83768,142.6
84051,144.0
84217,140.3
84302,139.4
84388,136.0
84573,136.55
84696,135.75
84924,137.75
85096,137.75
85243,137.5
85386,138.65
85543,137.35
85756,133.0
85865,135.45
86082,137.1
86359,138.35
86549,137.1
86632,136.6
86824,136.9
86922,136.4
87035,134.7
87142,133.4
87388,134.1
87596,135.15
87810,136.3
87973,135.4
88187,135.35
88314,132.65
88426,130.5
88536,126.9
88761,128.65
88863,128.15
89049,129.75
89189,128.55
89351,130.8
89500,130.85
89568,130.55
89657,130.8
89750,128.5
89870,126.55
90031,127.2
90186,122.55
90247,122.35
90379,120.2
90468,119.05
90563,117.6
90633,115.8
90819,118.2
90937,119.25
91132,120.35
91344,119.55
91477,121.05
91650,121.0
91798,121.05
92050,122.05
92249,125.1
92571,127.85
92764,128.65
93067,129.45
93210,129.5
93309,129.25
93569,132.25
93720,132.65
93824,130.65
93987,131.0
94188,131.2
94414,128.5
94539,129.7
94622,128.55
94914,131.4
95167,133.9
95301,134.55
95444,134.5
95654,135.35
95904,136.25
96084,138.45
96308,142.1
96506,143.75
96588,143.65
96683,143.0
96885,143.7
97023,141.2
97141,139.45
97251,139.15
97444,139.6
97572,139.3
97776,140.2
98005,142.2
98166,139.95
98460,139.8
98638,139.95
98740,139.55
98903,140.35
99033,139.8
99182,140.25
99291,140.4
99401,140.25
99587,140.4
99772,138.95
99916,139.35
100005,138.0
100172,136.9
100347,137.8
100539,139.1
100726,138.95
100903,140.8
101029,141.05
101155,140.0
101303,140.85
101419,138.65
101662,140.7
101818,141.0
101909,142.25
102029,142.8
102269,143.85
102385,143.35
102581,145.25
102729,145.65
102856,146.35
103070,148.4
103183,148.65
103376,149.4
103648,148.9
103973,149.05
104211,151.35
104432,154.6
104596,153.15
104824,154.8
104916,154.45
105138,153.55
105276,151.05
105429,148.0
105550,148.35
105716,146.55
105808,145.25
105951,144.45
106104,142.8
106322,145.35
106427,144.9
106634,143.6
106754,142.25
106838,141.15
106967,138.95
107073,138.7
107334,139.85
107471,136.95
107621,136.95
107789,136.2
107940,134.15
108083,131.15
108204,129.5
108359,122.9
108529,122.15
108672,121.95
108803,124.1
109025,125.15
109197,126.35
109307,125.05
109411,125.3
109572,125.5
109717,125.85
109949,127.3
110171,126.6
110324,127.35
110539,126.5
110820,128.0
110922,127.75
111191,130.35
111380,130.0
111564,131.45
111749,131.95
112016,135.75
112189,135.45
112324,135.45
112629,135.2
112772,137.2
112891,138.35
113254,140.15
113318,140.65
113498,141.95
113759,139.95
113836,140.6
114072,142.3
114240,142.75
114465,144.95
114623,143.0
114736,143.45
114938,143.5
115237,146.4
115483,149.05
115675,149.7
115916,150.0
116188,153.25
116306,155.3
116514,153.95
116692,154.65
116855,156.1
117032,155.2
117116,154.75
117287,150.95
117410,147.8
117598,148.0
117723,146.5
117878,147.55
118126,152.7
118288,151.85
118438,152.0
118674,153.8
118818,155.25
119100,157.85
119317,162.55
119434,164.95
119537,161.45
119676,162.45
119837,163.7
119969,164.05
120176,166.85
120420,171.4
120688,175.45
120806,171.75
120964,171.75
121139,172.1
121328,174.05
121544,174.55
121762,176.6
121892,177.05
122132,178.25
122454,182.6
122710,185.45
122845,185.75
122975,185.35
123200,185.7
123325,188.85
123511,190.05
123686,190.4
123801,189.0
123903,186.7
124176,190.05
124503,195.05
124719,195.7
125000,196.65
125194,199.75
125569,202.25
125773,204.75
125899,205.85
126108,205.8
126192,206.35
126267,205.5
126384,205.5
126583,206.25
126789,206.3
126958,206.4
127204,206.45
127434,207.5
127625,208.0
127842,210.15
128052,212.15
128234,210.85
128499,214.45
128678,215.1
128868,214.6
129051,214.8
129212,215.2
129311,212.05
129453,209.2
129693,208.4
129993,212.0
130192,209.6
130294,208.5
130423,208.1
130639,209.45
130860,210.2
131103,212.5
131239,212.5
131397,213.8
131612,217.35
131745,216.85
131839,216.45
132181,220.2
132414,216.85
132583,220.0
132821,223.95
133002,222.05
133080,219.1
133251,218.25
133378,214.8
133565,213.1
133693,213.35
133910,213.35
134094,214.0
134195,213.45
134368,211.35
134560,210.1
134775,206.9
134927,209.05
135157,211.9
135508,213.05
135701,215.35
135828,216.9
136020,217.1
136178,217.9
136345,218.05
136525,215.2
136703,213.65
136802,212.25
137154,214.25
137279,217.85
137443,217.35
137597,216.95
137870,219.2
138073,221.7
138219,221.7
138359,218.2
138548,213.75
138736,213.0
138866,210.5
139002,209.0
139245,204.0
139380,201.25
139505,201.2
139655,201.3
139974,203.75
140243,207.75
140432,208.8
140513,207.35
140727,207.4
140981,208.25
141182,207.6
141366,206.05
141555,207.8
141696,205.95
141879,206.45
142067,205.6
142229,203.6
142385,202.85
142782,205.7
142865,209.3
143088,211.45
143520,215.8
143694,218.3
143919,217.9
144040,214.1
144219,214.45
144402,214.95
144635,215.2
144864,218.1
145100,218.55
145301,215.6
145388,215.85
145576,215.6
145959,216.4
146059,216.9
146273,218.45
146410,218.25
146650,215.45
146750,214.85
146883,210.85
147158,211.75
147333,213.8
147497,213.6
147721,216.0
147977,215.55
148184,216.75
148294,216.3
148495,216.7
148697,217.95
148970,221.15
149073,219.5
149274,219.15
149609,224.55
149698,221.5
149837,219.95
150057,220.15
150200,219.85
150535,220.2
150845,226.55
151146,226.65
151279,226.25
151435,229.3
151598,229.65
151724,227.0
151971,223.5
152198,225.35
152428,225.65
152728,227.05
152876,225.3
153093,227.5
153417,232.45
153576,232.0
153741,232.1
153919,234.15
154284,237.1
154508,244.35
154627,242.65
154735,241.75
154839,242.3
154961,236.45
155212,235.2
155461,234.35
155578,235.9
155728,235.0
155876,233.6
156055,231.85
156314,233.9
156464,232.3
156686,234.25
156829,233.05
157007,234.8
157248,235.4
157370,234.6
157529,231.75
157646,227.5
157844,225.1
158259,223.45
158410,227.0
158680,229.95
158882,228.75
159189,230.15
159544,235.1
159774,236.9
159898,233.2
160137,232.05
160366,233.0
160444,233.6
160682,233.05
160883,231.3
161065,233.7
161307,236.7
161423,233.65
161665,233.7
161878,234.8
162133,234.9
162397,235.0
162592,236.8
162951,238.8
163206,240.45
163337,239.65
163474,238.8
163646,238.6
163762,237.9
163899,237.45
164039,235.35
164132,235.4
164407,235.95
164545,233.05
164685,233.65
164819,232.9
164975,232.9
165169,234.1
165414,234.05
165584,228.9
165765,231.85
165852,230.2
166038,229.55
166138,229.25
166257,228.8
166326,226.15
166570,225.6
166849,225.6
167025,225.05
167174,225.4
167334,223.6
167513,219.2
167667,220.15
167791,220.1
168006,217.6
168216,215.4
168410,210.2
168652,213.3
168878,216.1
169074,216.6
169196,218.8
169337,217.15
169544,219.85
169773,219.2
169952,220.15
170191,221.25
170378,222.8
170622,222.6
170802,221.8
171047,220.3
171231,220.15
171502,220.5
171838,223.95
171969,224.45
172144,225.65
172298,227.2
172473,227.85
172694,233.2
172965,230.2
173322,229.75
173522,231.35
173649,230.45
173736,224.25
173935,222.45
174169,227.5
174352,227.45
174513,226.5
174740,227.55
174975,229.05
175158,229.05
175313,226.0
175485,222.45
175600,221.3
175779,219.95
175970,219.65
176070,219.25
176248,219.2
176446,217.2
176589,216.6
176830,215.65
177008,217.05
177194,218.35
177492,225.5
177774,226.05
177936,228.25
178258,234.5
178514,239.3
178789,239.95
178946,237.85
179108,238.25
179356,239.35
179543,239.4
179748,240.1
180037,238.8
180286,242.95
180489,243.75
180618,241.25
180823,242.25
181079,243.0
181255,247.0
181395,248.1
181631,246.3
181776,246.15
181972,245.35
182125,243.75
182250,244.85
182403,243.25
182598,243.75
182776,244.95
182996,247.85
183254,248.3
183390,249.7
183539,248.6
183663,245.7
183789,243.55
183927,243.95
184144,244.65
184369,242.6
184634,245.5
184903,246.55
185165,246.6
185305,246.4
185382,244.55
185597,246.45
185700,244.7
185808,244.5
185910,241.8
186222,235.7
186398,243.1
186713,244.25
186886,244.0
187019,236.35
187218,236.45
187413,235.65
187541,230.9
187722,229.75
187872,230.7
188208,235.6
188342,233.95
188578,232.35
188705,232.7
188916,233.45
189033,233.6
189431,235.45
189508,234.9
189744,236.6
190023,239.45
190217,239.95
190306,239.4
190578,242.2
190672,240.5
190840,238.05
190926,236.4
191253,239.4
191441,239.2
191629,238.35
191884,238.05
192085,234.6
192421,238.1
192549,232.15
192721,226.8
192955,228.4
193119,227.2
193266,229.45
193407,227.1
193623,226.8
193793,225.3
193924,223.7
194167,220.55
194350,216.05
194516,217.35
194678,217.8
194900,218.55
195184,216.05
195310,219.8
195550,221.65
195855,223.65
196116,223.45
196194,224.5
196394,224.5
196536,225.6
196719,224.6
196895,225.1
197000,224.65
197120,220.25
197333,217.75
197541,218.75
197677,220.1
197845,220.6
198045,219.9
198180,221.05
198409,222.8
198612,221.25
198813,223.75
199008,224.3
199175,223.0
199310,223.65
199531,223.7
199725,222.3
199942,225.9
200097,226.9
200324,227.85
200467,223.1
200655,222.6
200828,224.3
201073,224.05
201272,226.2
201354,225.75
201545,228.45
201775,228.85
201940,228.55
202101,227.65
202319,229.15
202535,231.55
202749,228.65
202972,229.7
203095,228.9
203233,225.5
203389,223.8
203464,223.25
203674,222.4
203916,221.85
204063,222.05
204294,223.45
204432,222.7
204711,225.55
204941,225.9
205092,225.55
205291,223.55
205524,223.8
205690,224.4
205864,223.6
206024,222.5
206277,217.75
206407,219.4
206755,225.4
206957,224.0
207070,223.35
207285,224.5
207491,226.5
207650,225.7
207746,224.1
208051,225.0
208195,229.2
208330,227.25
208554,228.95
208721,228.6
208849,227.05
209080,227.25
209320,225.9
209675,226.05
209889,222.7
210074,225.3
210253,227.85
210493,230.05
210664,231.15
210789,230.15
210905,227.45
211059,227.15
211275,228.95
211590,229.75
211764,232.0
211916,230.3
212156,230.9
212341,233.0
212515,232.05
212774,230.65
212997,233.45
213191,225.55
213333,223.8
213527,223.7
213668,222.8
213839,220.55
213975,222.3
214169,221.25
214330,222.85
214558,223.75
214769,224.4
214923,224.0
215209,224.1
215356,223.3
215469,220.95
215736,224.2
216033,223.95
216269,223.4
216514,225.75
216744,227.8
216842,222.2
217021,220.05
217242,221.85
217356,220.0
217623,225.9
217856,227.4
217985,225.95
218154,228.2
218430,231.45
218565,230.2
218706,230.3
218935,231.55
219201,232.55
219367,229.65
219547,228.05
219713,229.7
219909,226.5
220203,228.2
220380,227.7
220575,226.95
220719,226.4
220847,225.6
221149,223.25
221333,221.35
221469,220.05
221595,217.55
221752,217.65
221914,215.2
222042,216.25
222218,221.1
222376,222.9
222730,225.45
222904,226.6
223133,225.15
223226,224.05
223409,228.0
223641,228.9
223742,224.55
224043,225.35
224263,231.85
224446,230.35
224679,231.2
224797,227.25
224948,226.65
225115,228.2
225210,228.35
225378,228.9
225623,232.2
225913,234.2
226063,232.35
226169,232.05
226400,232.1
226552,232.6
226724,232.2
226889,231.25
